SampleID	Mouse	Treatment
M1.12	1	Post-Morphine
M1.13	1	Post-Morphine
M1.14	1	Post-Morphine
M1.15	1	Post-Morphine
M1.16	1	Post-Morphine
M1.17	1	Post-Morphine
M2.12	2	Post-Morphine
M2.13	2	Post-Morphine
M2.14	2	Post-Morphine
M2.15	2	Post-Morphine
M2.16	2	Post-Morphine
M2.17	2	Post-Morphine
M3.12	3	Post-Morphine
M3.13	3	Post-Morphine
M3.14	3	Post-Morphine
M3.15	3	Post-Morphine
M3.16	3	Post-Morphine
M3.17	3	Post-Morphine
M4.12	4	Post-Morphine
M4.13	4	Post-Morphine
M4.14	4	Post-Morphine
M4.15	4	Post-Morphine
M4.16	4	Post-Morphine
M4.17	4	Post-Morphine
M5.12	5	Post-Morphine
M5.13	5	Post-Morphine
M5.14	5	Post-Morphine
M5.15	5	Post-Morphine
M5.16	5	Post-Morphine
M5.17	5	Post-Morphine
M1-1I	1	Control
M1-1I	1	Control
M1-1I	1	Control
M1-1I	1	Control
